id,label_original,label_suggere,action,nb_items
1441,Configure and manage network restrictions using parental controls,,KEEP,10
1442,Configure and manage display settings for presentations,,KEEP,10
1443,Record and manage audio input from external devices,,KEEP,10
1450,Organize and manage browser bookmarks into categorized folders,,KEEP,12
1457,Engage in online forum discussions and manage content,,KEEP,12
1458,Stream and manage music playlists across devices,,KEEP,12
1459,Plan and manage a trip itinerary using mapping and transportation tools,,KEEP,12
1460,Organize and manage a collection of e-books in categorized folders,,KEEP,12
1467,Monitor and manage fitness data using wearable devices,,KEEP,12
1469,Customize and manage notification preferences across applications,,KEEP,12
1470,Collaborate on and manage shared documents,,KEEP,10
1486,Sync and manage browser bookmarks across multiple devices,,KEEP,9
1488,Customize and manage desktop themes and wallpapers,,KEEP,9
1490,Organize and manage scanned documents,,KEEP,7
1491,Schedule and manage video calls,,KEEP,7
1492,Stream and manage educational content,,KEEP,7
1493,Share and manage digital event invitations,,KEEP,7
1494,Configure and manage email filtering rules,,KEEP,7
1495,Track and manage loyalty points across multiple programs,,KEEP,7
1496,Schedule and manage blog posts across platforms,,KEEP,7
1505,Organize and manage downloaded podcasts,,KEEP,7
1506,Create and manage playlists for different moods and occasions,,KEEP,7
1508,Monitor and manage energy usage with smart home devices,,KEEP,7
1509,Configure and manage wireless devices for home automation,,KEEP,7
1525,"Plan and manage events, including invitations",,KEEP,9
1528,Organize and manage digital learning materials for courses,,KEEP,9
1542,Set up and manage automatic encrypted backups for mobile devices,,KEEP,6
1544,Monitor and manage device storage usage,,KEEP,6
1549,Install and manage system software updates,,KEEP,6
1552,Track and manage daily water intake,,KEEP,8
1553,Participate in and manage online quizzes,,KEEP,8
1554,Set up and manage reminders for important dates,,KEEP,8
1557,Configure and manage two-factor authentication for accounts,,KEEP,8
1570,Create and manage digital diary entries,,KEEP,9
1579,Track and manage recurring subscriptions and payments,,KEEP,9
1598,Monitor and manage device security alerts and notifications,,KEEP,10
1620,Explore and manage new music playlists,,KEEP,7
1626,Upload and manage video content on a social platform,,KEEP,7
1627,Edit and manage a personal blog post,,KEEP,7
1655,Monitor and manage bank account balances,,KEEP,11
1662,Browse and manage digital magazines or e-books,,KEEP,11
1689,Play and manage casual games on mobile and computer,,KEEP,9
1692,Explore and manage free stock photo resources,,KEEP,11
1700,Configure and manage email signatures,,KEEP,11
1702,Filter and manage spam emails,,KEEP,11
1706,Research and manage local health services,,KEEP,11
1707,Monitor and manage vaccination schedules,,KEEP,11
1708,Book and manage fitness and yoga class schedules,,KEEP,11
1709,Track and manage daily water intake,,KEEP,11
1712,Monitor and manage electricity consumption with smart devices,,KEEP,10
1714,Configure and manage smart home automation routines,,KEEP,10
1724,Register and manage loyalty program accounts online,,KEEP,10
1727,Configure and manage mobile hotspot settings,,KEEP,10
1729,Configure and manage parental control settings for monitoring apps,,KEEP,10
1731,Configure and manage app usage limits on devices,,KEEP,9
1735,Convert and manage documents in PDF format,,KEEP,9
1739,Restore and manage contacts from cloud backup,,KEEP,9
1763,Optimize database queries and manage indexes for efficiency,,KEEP,12
1776,Configure environment variables and manage secrets securely,,KEEP,12
1782,Implement and manage feature flags for controlled feature rollouts,,KEEP,12
1787,Develop and manage CLI tools to automate internal workflows,,KEEP,12
1798,Develop and manage containerized microservices with communication and orchestration tools,,KEEP,10
1801,Configure and manage logging for efficient monitoring and analysis,,KEEP,10
1813,Configure and manage containerized testing environments,,KEEP,9
1816,Write and manage documentation for internal libraries and tools,,KEEP,9
1817,Implement and manage session expiration and token refresh mechanisms,,KEEP,9
1818,Run and manage regression tests before releases,,KEEP,9
1819,Configure and manage build tools for generating optimized production artifacts,,KEEP,9
1821,Automate and manage database schema migrations,,KEEP,9
1822,Implement and manage rate-limiting for API endpoints,,KEEP,9
1853,Automate deployment and management of multi-service applications,,KEEP,9
1854,Integrate and manage secure payment processing workflows,,KEEP,9
1878,Implement and manage API gateways for traffic routing and security,,KEEP,8
1882,Monitor and manage service-level agreements for uptime,,KEEP,8
1886,Implement and manage data transformation pipelines for analytics,,KEEP,8
1888,Design and manage microservice orchestration using container platforms,,KEEP,8
1902,Design and manage modular APIs for multi-platform integration,,KEEP,9
1923,Coordinate and manage feature testing across development and staging environments,,KEEP,9
1925,Develop and manage multi-service authentication frameworks,,KEEP,9
1928,Design and manage cross-service communication protocols,,KEEP,9
1949,Design and manage scalable event handling systems for high-volume traffic,,KEEP,9
1950,Design and manage modular service architectures for new projects,,KEEP,9
1952,Implement and manage secure data pipelines across distributed systems,,KEEP,9
1953,Develop and manage orchestration scripts for automated workflows,,KEEP,9
1954,Optimize and manage inter-service communication protocols,,KEEP,9
1955,Coordinate and manage multi-environment deployment strategies,,KEEP,9
1956,Implement and manage automated scaling rules for cloud applications,,KEEP,9
1957,Design and manage logging and alerting frameworks,,KEEP,9
1958,Maintain and manage service dependency maps for troubleshooting,,KEEP,9
1959,Implement and manage secure token-based authentication across services,,KEEP,9
1961,Develop and manage shared SDKs for internal service consumption,,KEEP,9
1973,Execute and manage automated testing workflows,,KEEP,9
1980,Configure and manage distributed service infrastructure,,KEEP,9
1988,Develop and manage modular plugin architectures,,KEEP,9
1991,Implement and manage error monitoring and handling mechanisms,,KEEP,6
1995,Design and manage caching mechanisms for improved performance,,KEEP,6
1996,Monitor and manage distributed lock systems and synchronization mechanisms,,KEEP,6
2109,Provision and manage typed cloud infrastructure as code with Pulumi and TypeScript,,KEEP,5
2129,"Define, validate, and manage Prometheus alerting and recording rules",,KEEP,6
2130,Provision and manage AWS infrastructure using CloudFormation templates,,KEEP,6
2132,Provision and manage Azure resources using Bicep infrastructure as code templates,,KEEP,6
2171,Configure and manage ELT data synchronisation pipelines using Airbyte,,KEEP,6
2179,Internationalise a React application and manage translation files with i18next and Crowdin,,KEEP,6
2183,Configure an OpenLDAP directory and manage user entries via LDIF imports,,KEEP,6
2219,Define SQLAlchemy ORM models and manage schema migrations with Alembic,,KEEP,6
2222,Ingest structured data into Elasticsearch via Logstash and manage index templates,,KEEP,6
2227,Instrument LLM application traces and manage prompt versions with Langfuse observability,,KEEP,5
2335,Migrate and manage Google Cloud Storage buckets with lifecycle policies and IAM access controls,,KEEP,6
2354,Deploy and manage ephemeral preview environments and production services on Kubernetes with Porter,,KEEP,6
2502,Run virtual machines on Kubernetes with KubeVirt and manage live migration policies,,KEEP,6
3025,Monitor ML model health and manage automated retraining triggers in production,,KEEP,6
3039,Monitor and manage ML model deployments and detect drift in production,,KEEP,6
3069,Monitor and manage ML model pipelines and deployments on Vertex AI,,KEEP,6
3103,Monitor and manage ML model pipelines and endpoints on Amazon SageMaker,,KEEP,5
