date,start,end,duration,event_type,file,app,command,raw,description
2026-04-11,12:23:13,12:23:15,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:23:15,12:23:17,0.033,command,,Terminal,python -m taskmonitor.gui.app,python -m taskmonitor.gui.app,"python -m taskmonitor.gui.app, command, executed in terminal, used to run the script of the specified library module + website / domain 'taskmonitor.gui.app' with the taskmonitor.gui.app file which is a It provides a task monitoring tool., Graphical user interface"
2026-04-11,12:25:14,12:25:16,0.033,command,,Terminal,ls,ls,"ls, command, executed in terminal, used to list directory contents"
2026-04-11,12:25:19,12:25:21,0.033,command,,Terminal,ls taskmonitor/,ls taskmonitor/,"ls taskmonitor/, command, executed in terminal, used to list directory contents in taskmonitor/"
2026-04-11,12:25:34,12:25:36,0.033,command,,Terminal,cat taskmonitor/orchestrator.py,cat taskmonitor/orchestrator.py,"cat taskmonitor/orchestrator.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/orchestrator.py file which is a Python 3 script, text files, It is designed to assist with orchestrating tasks."
2026-04-11,12:27:34,12:27:36,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:27:40,12:27:42,0.033,command,,Terminal,ls data/exports/,ls data/exports/,"ls data/exports/, command, executed in terminal, used to list directory contents in data/exports/"
2026-04-11,12:27:46,12:27:48,0.033,command,,Terminal,ls data/exports/final_output.json,ls data/exports/final_output.json,"ls data/exports/final_output.json, command, executed in terminal, used to list directory contents with the data/exports/final_output.json file which is a JSON schema, JSON data, It serves as a final output for a project., Data exchange format"
2026-04-11,12:30:10,12:30:12,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:30:11,12:30:13,0.033,command,,Terminal,ls,ls,"ls, command, executed in terminal, used to list directory contents"
2026-04-11,12:30:13,12:30:15,0.033,command,,Terminal,ls taskmonitor/,ls taskmonitor/,"ls taskmonitor/, command, executed in terminal, used to list directory contents in taskmonitor/"
2026-04-11,12:30:30,12:30:32,0.033,command,,Terminal,ls pyproject.toml,ls pyproject.toml,"ls pyproject.toml, command, executed in terminal, used to list directory contents with the pyproject.toml file which is a TOML document, TOML configuration, It serves as a py project."
2026-04-11,12:30:41,12:30:43,0.033,command,,Terminal,ls taskmonitor/processing/,ls taskmonitor/processing/,"ls taskmonitor/processing/, command, executed in terminal, used to list directory contents in taskmonitor/processing/"
2026-04-11,12:32:35,12:32:37,0.033,command,,Terminal,ls taskmonitor/collectors/,ls taskmonitor/collectors/,"ls taskmonitor/collectors/, command, executed in terminal, used to list directory contents in taskmonitor/collectors/"
2026-04-11,12:33:09,12:33:11,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:33:13,12:33:15,0.033,command,,Terminal,ls taskmonitor/core/,ls taskmonitor/core/,"ls taskmonitor/core/, command, executed in terminal, used to list directory contents in taskmonitor/core/"
2026-04-11,12:33:23,12:33:25,0.033,command,,Terminal,cat taskmonitor/core/storage.py,cat taskmonitor/core/storage.py,"cat taskmonitor/core/storage.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/core/storage.py file which is a Python 3 script, text files, It stores data for storage purposes."
2026-04-11,12:34:05,12:34:07,0.033,command,,Terminal,cat taskmonitor/orchestrator.py,cat taskmonitor/orchestrator.py,"cat taskmonitor/orchestrator.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/orchestrator.py file which is a Python 3 script, text files, It is designed to assist with orchestrating tasks."
2026-04-11,12:47:55,12:47:57,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:47:58,12:48:00,0.033,command,,Terminal,ls ~/.taskmonitor/db/,ls ~/.taskmonitor/db/,"ls ~/.taskmonitor/db/, command, executed in terminal, used to list directory contents in ~/.taskmonitor/db/"
2026-04-11,12:48:13,12:48:15,0.033,command,,Terminal,ls -a ~/,ls -a ~/,"ls -a ~/, command, executed in terminal, used to list all files, including hidden files in ~/"
2026-04-11,12:48:22,12:48:24,0.033,command,,Terminal,clar,clar,"clar, command, executed in terminal"
2026-04-11,12:48:24,12:48:26,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:48:36,12:48:38,0.033,command,,Terminal,ls ~/.taskmonitor/db/,ls ~/.taskmonitor/db/,"ls ~/.taskmonitor/db/, command, executed in terminal, used to list directory contents in ~/.taskmonitor/db/"
2026-04-11,12:48:48,12:48:50,0.033,command,,Terminal,sqlite3 ~/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 ~/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,12:49:49,12:49:51,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:50:03,12:50:05,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:50:50,12:50:52,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,12:52:43,12:52:45,0.033,command,,Terminal,cat taskmonitor/orchestrator.py,cat taskmonitor/orchestrator.py,"cat taskmonitor/orchestrator.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/orchestrator.py file which is a Python 3 script, text files, It is designed to assist with orchestrating tasks."
2026-04-11,12:53:00,12:53:02,0.033,command,,Terminal,cat taskmonitor/core/storage.py,cat taskmonitor/core/storage.py,"cat taskmonitor/core/storage.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/core/storage.py file which is a Python 3 script, text files, It stores data for storage purposes."
2026-04-11,12:53:57,12:53:59,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:53:59,12:54:01,0.033,command,,Terminal,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,"rm ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,12:55:02,12:55:04,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,12:57:52,12:57:54,0.033,command,,Terminal,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,"rm ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,12:57:54,12:57:56,0.033,command,,Terminal,clar,clar,"clar, command, executed in terminal"
2026-04-11,12:57:56,12:57:58,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:57:59,12:58:01,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:01:05,13:01:07,0.033,command,,Terminal,ls -a ~/.taskmonitor/,ls -a ~/.taskmonitor/,"ls -a ~/.taskmonitor/, command, executed in terminal, used to list all files, including hidden files with the ~/.taskmonitor/ file"
2026-04-11,13:01:16,13:01:18,0.033,command,,Terminal,cd ~/.taskmonitor/db,cd ~/.taskmonitor/db,"cd ~/.taskmonitor/db, command, executed in terminal, used to go to the specified directory in ~/.taskmonitor/db"
2026-04-11,13:01:18,13:01:20,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:01:19,13:01:21,0.033,command,,Terminal,ls,ls,"ls, command, executed in terminal, used to list directory contents"
2026-04-11,13:01:26,13:01:28,0.033,command,,Terminal,sqlite3 taskmonitor_2026_04.db,sqlite3 taskmonitor_2026_04.db,"sqlite3 taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:04:20,13:04:22,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:07:42,13:07:44,0.033,command,,Terminal,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,"rm ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:08:48,13:08:50,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:09:11,13:09:13,0.033,command,,Terminal,cd ~/,cd ~/,"cd ~/, command, executed in terminal, used to go to the specified directory in ~/"
2026-04-11,13:09:12,13:09:14,0.033,command,,Terminal,ls,ls,"ls, command, executed in terminal, used to list directory contents"
2026-04-11,13:09:17,13:09:19,0.033,command,,Terminal,cd Documents/,cd Documents/,"cd Documents/, command, executed in terminal, used to go to the specified directory in Documents/"
2026-04-11,13:09:18,13:09:20,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:09:32,13:09:34,0.033,command,,Terminal,cd Projects/Visualization/taskMonitor,cd Projects/Visualization/taskMonitor,"cd Projects/Visualization/taskMonitor, command, executed in terminal, used to go to the specified directory in Projects/Visualization/taskMonitor"
2026-04-11,13:09:33,13:09:35,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:09:36,13:09:38,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:10:34,13:10:36,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:10:35,13:10:37,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:15:01,13:15:03,0.033,command,,Terminal,cat taskmonitor/orchestrator.py,cat taskmonitor/orchestrator.py,"cat taskmonitor/orchestrator.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/orchestrator.py file which is a Python 3 script, text files, It is designed to assist with orchestrating tasks."
2026-04-11,13:15:51,13:15:53,0.033,command,,Terminal,cat taskmonitor/core/storage.py,cat taskmonitor/core/storage.py,"cat taskmonitor/core/storage.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/core/storage.py file which is a Python 3 script, text files, It stores data for storage purposes."
2026-04-11,13:17:19,13:17:21,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:17:20,13:17:22,0.033,command,,Terminal,cat taskmonitor/core/storage.py,cat taskmonitor/core/storage.py,"cat taskmonitor/core/storage.py, command, executed in terminal, used to print the contents of a file to `stdout` with the taskmonitor/core/storage.py file which is a Python 3 script, text files, It stores data for storage purposes."
2026-04-11,13:17:23,13:17:25,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:17:26,13:17:28,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:19:16,13:19:18,0.033,command,,Terminal,ls -a ~/.taskmonitor/db,ls -a ~/.taskmonitor/db,"ls -a ~/.taskmonitor/db, command, executed in terminal, used to list all files, including hidden files in ~/.taskmonitor/db"
2026-04-11,13:19:22,13:19:24,0.033,command,,Terminal,ls -a ~/.taskmonitor/db/taskmonitor_2026_04.db,ls -a ~/.taskmonitor/db/taskmonitor_2026_04.db,"ls -a ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to list all files, including hidden files with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:19:35,13:19:37,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:23:28,13:23:30,0.033,command,,Terminal,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:23:29,13:23:31,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:23:37,13:23:39,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:28:14,13:28:16,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:29:44,13:29:46,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:29:52,13:29:54,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:31:03,13:31:05,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:31:19,13:31:21,0.033,command,,Terminal,ls -a ~/.taskmonitor/db/,ls -a ~/.taskmonitor/db/,"ls -a ~/.taskmonitor/db/, command, executed in terminal, used to list all files, including hidden files in ~/.taskmonitor/db/"
2026-04-11,13:31:22,13:31:24,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:48:15,13:48:17,0.033,command,,Terminal,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:48:22,13:48:24,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:50:42,13:50:44,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,13:51:08,13:51:10,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:51:10,13:51:12,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,13:52:40,13:52:42,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,13:52:42,13:52:44,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:08:39,14:08:41,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:08:42,14:08:44,0.033,command,,Terminal,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"rm /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:08:51,14:08:53,0.033,command,,Terminal,ls /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,ls /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"ls /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to list directory contents with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:08:56,14:08:58,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:09:02,14:09:04,0.033,command,,Terminal,ls /home/aidan/.taskmonitor/db/,ls /home/aidan/.taskmonitor/db/,"ls /home/aidan/.taskmonitor/db/, command, executed in terminal, used to list directory contents in /home/aidan/.taskmonitor/db/"
2026-04-11,14:09:04,14:09:06,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:09:08,14:09:10,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,14:12:38,14:12:40,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:13:05,14:13:07,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:13:09,14:13:11,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,14:18:31,14:18:33,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:20:27,14:20:29,0.033,command,,Terminal,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,rm ~/.taskmonitor/db/taskmonitor_2026_04.db,"rm ~/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to remove specific files with the ~/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:20:43,14:20:45,0.033,command,,Terminal,ls ~/.taskmonitor/db/,ls ~/.taskmonitor/db/,"ls ~/.taskmonitor/db/, command, executed in terminal, used to list directory contents in ~/.taskmonitor/db/"
2026-04-11,14:20:45,14:20:47,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:20:46,14:20:48,0.033,command,,Terminal,ls ~/.taskmonitor/db/,ls ~/.taskmonitor/db/,"ls ~/.taskmonitor/db/, command, executed in terminal, used to list directory contents in ~/.taskmonitor/db/"
2026-04-11,14:20:53,14:20:55,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,14:26:46,14:26:48,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:27:05,14:27:07,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:27:07,14:27:09,0.033,command,,Terminal,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db,"sqlite3 /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db, command, executed in terminal, used to start an interactive shell with a new database with the /home/aidan/.taskmonitor/db/taskmonitor_2026_04.db file which is a database file, It serves as a task monitor for 202604."
2026-04-11,14:27:11,14:27:13,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,14:27:14,14:27:16,0.033,command,,Terminal,python -m taskmonitor.orchestrator process,python -m taskmonitor.orchestrator process,"python -m taskmonitor.orchestrator process, command, executed in terminal, used to run the script of the specified library module + python module 'taskmonitor.orchestrator' with the taskmonitor.orchestrator file which is a It monitors the status of tasks."
2026-04-11,14:30:00,14:30:02,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
