date,start,end,duration,event_type,file,app,command,raw,description
2026-04-02,20:42:47,20:42:51,0.07,app,,Google Chrome,,Verify Session - Google Chrome,"Google Chrome, application, used to use Verify Session"
2026-04-02,22:03:49,22:03:51,0.07,file,taskmonitor_arborescence.html,Google Chrome,,taskmonitor_arborescence.html - Google Chrome,"taskmonitor_arborescence.html, file, opened with Google Chrome, contains data related to HTML document, HTML document, It serves as a task monitoring array for a system."
2026-04-02,20:51:17,20:51:19,0.07,app,,taskmonitor,,taskmonitor,"taskmonitor, application, used by the user"
2026-04-02,21:02:15,21:02:17,0.07,file,storage.py,Visual Studio Code,,storage.py - taskMonitor - Visual Studio Code,"storage.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It stores data for storage purposes."
2026-04-02,21:20:16,21:20:20,0.07,file,parser.py,Visual Studio Code,,parser.py - taskMonitor - Visual Studio Code,"parser.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It serves as a parser for a database."
2026-04-02,21:39:50,21:39:54,0.07,app,,The Wireshark Network Analyzer,,The Wireshark Network Analyzer,"The Wireshark Network Analyzer, application, used by the user"
2026-04-02,20:41:54,20:41:56,0.03,app,,Visual Studio Code,,Visual Studio Code,"Visual Studio Code, application, used by the user"
2026-04-02,20:42:11,20:42:13,0.03,app,,Google Chrome,,Untitled - Google Chrome,"Google Chrome, application, used to use Untitled"
2026-04-02,20:42:13,20:42:15,0.03,app,,Google Chrome,,Redirecting to Google - Google Chrome,"Google Chrome, application, used to use Redirecting to Google"
2026-04-02,20:42:51,20:42:53,0.03,app,,Google Chrome,,OAuth application authorized - Google Chrome,"Google Chrome, application, used to use OAuth application authorized"
2026-04-02,20:51:03,20:51:05,0.03,app,,core,,core,"core, application, used by the user"
2026-04-02,21:20:04,21:20:06,0.03,file,requirements.txt,Visual Studio Code,,requirements.txt - taskMonitor - Visual Studio Code,"requirements.txt, file, opened with Visual Studio Code, contains data related to Plain text document, text files, It provides a list of requirements for a project."
2026-04-02,21:20:22,21:20:24,0.03,file,intention_predictor.py,Visual Studio Code,,intention_predictor.py - taskMonitor - Visual Studio Code,"intention_predictor.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It serves as an intention prediction tool."
2026-04-02,21:20:28,21:20:30,0.03,file,taskmonitor.desktop,Visual Studio Code,,taskmonitor.desktop - taskMonitor - Visual Studio Code,"taskmonitor.desktop, file, opened with Visual Studio Code, contains data related to Desktop entry, Desktop entry, It monitors the status of tasks."
2026-04-02,22:03:47,22:03:49,0.03,app,,Google Chrome,,software development in python course - Recherche Google - Google Chrome,"Google Chrome, application, used to use software development in python course - Recherche Google"
2026-04-02,22:15:51,22:15:41,-0.3,app,,Desktop Icons 1,,Desktop Icons 1,"Desktop Icons 1, application, used by the user"
2026-04-03,13:04:16,13:04:18,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-03,13:04:18,13:04:20,0.033,command,,Terminal,python3,python3,"python3, command, executed in terminal, used to runs a python script using the python 3 interpreter"
2026-04-03,13:19:48,13:19:50,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-03,13:19:51,13:19:53,0.033,command,,Terminal,python3,python3,"python3, command, executed in terminal, used to runs a python script using the python 3 interpreter"
2026-04-03,13:21:03,13:21:05,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-03,13:21:16,13:21:18,0.033,command,,Terminal,cat ~/.bash_history,cat ~/.bash_history,"cat ~/.bash_history, command, executed in terminal, used to print the contents of a file to `stdout` targeting the special file ~/.bash_history which is user shell command history"
2026-04-03,13:21:19,13:21:21,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-03,13:21:49,13:21:51,0.033,command,,Terminal,python3 Collect_Data_command_Script.py,python3 Collect_Data_command_Script.py,"python3 Collect_Data_command_Script.py, command, executed in terminal, used to runs a python script using the python 3 interpreter with the Collect_Data_command_Script.py file which is a Python 3 script, text files, It serves as a Collect Data command script."
